gene name,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Radiality unDir,Stress unDir
CASP6,2294.888612,5.648760159,-417,2.68E-04,342,0.333333333,0.021136315,3.149950348,83390
CASP7,1505.715378,5.799386023,-487,2.63E-04,265,0.333333333,0.014520562,3.115193644,52712
CD86,1385.940886,5.786926293,-497,2.63E-04,250,0.333333333,0.013277318,3.110228401,53010
PTPN13,2228.856208,5.161229363,-390,2.70E-04,357,0.333333333,0.022557811,3.163356504,90972
NF1,1026.981357,5.303488453,-500,2.63E-04,237,0.333333333,0.015065337,3.108738828,40890
EIF4G2,1069.236199,5.128932769,-486,2.64E-04,252,0.333333333,0.016473224,3.115690169,44550
ZMYM2,1324.164995,4.675290796,-433,2.67E-04,302,0.333333333,0.0208055,3.142005958,64180
FCGR3B,161.6890253,5.581715317,-688,2.49E-04,77,0.333333333,0.002859382,3.008440914,3784
CCNE2,855.3782798,3.542486022,-444,2.66E-04,301,0.333333333,0.024789095,3.136544191,45796
CRADD,2773.335204,5.554990076,-373,2.72E-04,384,0.333333333,0.023854511,3.171797418,106788
INSR,1768.986025,4.440352112,-419,2.68E-04,352,0.333333333,0.020731101,3.148957299,72420
PPP1CA,2080.668827,4.986776145,-414,2.69E-04,356,0.333333333,0.021629262,3.151439921,79612
DAXX,1862.898135,4.830544008,-425,2.68E-04,345,0.333333333,0.021460019,3.145978153,72186
BIRC2,3521.890795,4.612482366,-315,2.76E-04,478,0.333333333,0.027013831,3.200595829,139858
OCRL,1398.508716,6.69263263,-498,2.63E-04,232,0.333333333,0.014146792,3.109731877,51530
RPS6KA5,2603.5,5.185063695,-371,2.72E-04,389,0.333333333,0.024015198,3.172790467,105238
CASP2,1674.530946,4.594866528,-441,2.67E-04,336,0.333333333,0.020760804,3.138033764,62976
NKX3-1,565.3326111,5.4227737,-584,2.57E-04,157,0.333333333,0.008317292,3.067030785,17226
KIF22,1884.984937,3.606606323,-343,2.74E-04,423,0.333333333,0.031951745,3.186693148,94050
FGFBP1,553.0900417,7.577154818,-605,2.55E-04,125,0.333333333,0.006818417,3.055610725,14174
OSBPL8,932.4056495,5.193812722,-494,2.63E-04,236,0.333333333,0.016148481,3.111717974,41812
MAST3,474.6996503,5.093332821,-573,2.58E-04,162,0.333333333,0.010085904,3.071996028,16398
CX3CL1,303.8835015,6.331893634,-614,2.55E-04,112,0.333333333,0.006570146,3.05163853,10338
NFAT5,1855.319089,5.755655471,-430,2.67E-04,305,0.333333333,0.018965423,3.143495531,71084
LYN,3601.401454,3.737115455,-310,2.76E-04,540,0.333333333,0.026547875,3.203078451,141892
GTSE1,486.1515918,2.762567428,-510,2.62E-04,254,0.333333333,0.018944027,3.103773585,24316
EIF4A1,2706.501509,4.561474477,-351,2.73E-04,436,0.333333333,0.027049762,3.182720953,112120
TRIM23,1741.606206,5.017667728,-415,2.69E-04,326,0.333333333,0.020956128,3.150943396,75456
PIP5K1C,802.793434,6.622722973,-566,2.58E-04,167,0.333333333,0.008579471,3.075471698,22818
DNA2,1281.066262,3.85790094,-394,2.70E-04,337,0.333333333,0.028603519,3.161370407,68026
SYNJ1,1468.549089,5.55088248,-458,2.65E-04,277,0.333333333,0.017180372,3.12959285,58874
SOCS5,1682.847199,5.291992023,-439,2.67E-04,302,0.333333333,0.018575361,3.139026812,65338
PPP2R5E,2803.037247,4.702375911,-322,2.75E-04,430,0.333333333,0.028137879,3.197120159,128092
SKP2,2670.867243,4.157533846,-321,2.75E-04,475,0.333333333,0.03235841,3.197616683,122914
UBE2A,1014.891094,4.975295051,-484,2.64E-04,258,0.333333333,0.018100149,3.116683217,44796
SOCS6,1101.720307,5.367707424,-492,2.63E-04,247,0.333333333,0.01564084,3.112711023,44156
EIF4G3,2056.42,5.015032917,-408,2.69E-04,350,0.333333333,0.020592332,3.154419067,81666
TP53BP1,2783.783802,4.820612476,-342,2.74E-04,427,0.333333333,0.027915432,3.187189672,118308
CENPF,3133.433131,3.353432616,-245,2.81E-04,586,0.5,0.040254841,3.235352532,159302
EIF4EBP1,629.6444383,7.036295476,-580,2.57E-04,149,0.333333333,0.009159617,3.069016882,19374
PNRC1,1704.52223,5.10225887,-432,2.67E-04,312,0.333333333,0.017970403,3.142502483,68476
CDK8,4169.7,4.666010769,-233,2.82E-04,541,0.333333333,0.035794206,3.241310824,187052
MYCBP2,2611.373799,5.801060519,-379,2.71E-04,360,0.333333333,0.022268711,3.168818272,107042
KAT6A,1751.836567,5.320037686,-428,2.68E-04,312,0.333333333,0.019703512,3.14448858,73096
NFYA,1130.517149,5.027583924,-463,2.65E-04,274,0.333333333,0.020540485,3.127110228,51366
BCR,1755.682784,5.735773567,-447,2.66E-04,298,0.333333333,0.017665471,3.135054618,65170
DCK,4181.275802,4.478758072,-237,2.82E-04,556,0.333333333,0.037117836,3.239324727,192792
TNIP1,1172.736308,6.593885304,-524,2.61E-04,214,0.333333333,0.011595607,3.096822244,35780
POLE3,1660.550909,4.072589601,-387,2.71E-04,366,0.5,0.027060237,3.164846077,80484
FRYL,666.5950892,4.901612809,-535,2.60E-04,198,0.333333333,0.012694809,3.091360477,27870
PKN1,1402.531079,4.968589366,-462,2.65E-04,283,0.333333333,0.016463826,3.127606753,52386
GTF2F1,1478.890832,5.496688831,-483,2.64E-04,271,0.333333333,0.014987539,3.117179742,54054
UBXN7,1968.807753,5.360695052,-401,2.70E-04,327,0.333333333,0.021304672,3.157894737,82292
SUPT5H,2368.768971,6.636185592,-450,2.66E-04,292,0.333333333,0.015658249,3.133565045,71914
TCERG1,6209.251843,4.768478107,-124,2.91E-04,645,0.333333333,0.04512842,3.295431976,283680
PAQR4,299.028782,5.485798177,-608,2.55E-04,125,0.333333333,0.009967432,3.055114201,12056
TGFA,2311.734468,6.175194683,-415,2.69E-04,320,0.333333333,0.019649586,3.150943396,81544
BCL2,1970.186318,4.380899229,-409,2.69E-04,367,0.333333333,0.020747045,3.153922542,79612
PRDM1,2600.96647,5.676404401,-398,2.70E-04,354,0.333333333,0.020536319,3.15938431,91724
PRIM2,491.2479158,2.275469999,-484,2.64E-04,306,0.333333333,0.022801532,3.116683217,31604
USP1,4865.704367,3.891789783,-175,2.87E-04,651,0.333333333,0.042952085,3.270109235,232286
DBF4,3271.081424,3.220616226,-257,2.80E-04,593,0.5,0.037522715,3.22939424,157042
HSP90AB1,1044.931168,4.340624978,-468,2.65E-04,281,0.333333333,0.018663371,3.124627607,48694
EED,3135.67842,4.875699439,-310,2.76E-04,455,0.333333333,0.030846709,3.203078451,135484
ORC2,3516.124305,4.092843253,-267,2.80E-04,542,0.333333333,0.035695462,3.224428997,164004
TRAF1,1132.442902,4.777820502,-510,2.62E-04,255,0.333333333,0.011694659,3.103277061,37852
FEZ1,619.3953735,7.829203287,-582,2.57E-04,141,0.333333333,0.008748617,3.068023833,21188
EPHA2,1278.1601,6.180377761,-505,2.62E-04,234,0.333333333,0.013251525,3.106256207,41994
CSE1L,4360.677273,3.707274261,-177,2.87E-04,645,0.333333333,0.044949366,3.269116187,218798
FLI1,5193.027977,4.783506254,-245,2.81E-04,557,0.333333333,0.030748242,3.235352532,204618
TRADD,717.4545114,3.99340371,-544,2.59E-04,222,0.333333333,0.010051454,3.086395233,25756
MAP3K3,3676.880735,5.218363687,-318,2.76E-04,455,0.333333333,0.026484,3.199106256,136346
JUNB,424.5252458,4.064036494,-584,2.57E-04,171,0.333333333,0.008207888,3.06653426,15704
PKNOX1,584.0283582,6.078108955,-560,2.58E-04,169,0.333333333,0.011934914,3.078947368,22744
ARHGAP11A,1310.580295,4.465804179,-411,2.69E-04,325,0.333333333,0.02672407,3.152929494,63600
WIPF1,2699.408531,4.648138916,-359,2.73E-04,421,0.333333333,0.023420856,3.178748759,108294
RFC2,1856.807662,3.783344851,-380,2.71E-04,413,0.333333333,0.027551094,3.168321748,88900
TMEM106C,878.0788653,3.796261795,-460,2.65E-04,291,0.333333333,0.022947023,3.128599801,44624
YTHDF3,1159.034971,4.41671323,-444,2.66E-04,279,0.333333333,0.018739951,3.136544191,56928
ABI1,761.1698167,4.65650063,-514,2.62E-04,224,0.333333333,0.01431734,3.101787488,33382
HDAC1,6367.921151,3.735804348,-149,2.89E-04,750,0.333333333,0.041892824,3.283018868,268852
UBE2C,1860.642915,2.76069619,-321,2.75E-04,493,0.333333333,0.034256587,3.197616683,104530
TRAPPC8,3303.628496,4.877396333,-303,2.77E-04,451,0.333333333,0.028868234,3.206554121,141950
BTK,3206.769355,4.493029736,-350,2.73E-04,454,0.333333333,0.023511861,3.183217478,119966
COPS6,701.7492528,5.342886039,-544,2.60E-04,194,0.333333333,0.012459485,3.086891758,25998
TEX30,233.6692174,3.505443778,-584,2.57E-04,156,0.333333333,0.014820974,3.067030785,14562
JUND,597.8321543,5.168094567,-565,2.58E-04,179,0.333333333,0.009562752,3.076464747,21094
SIK1,1141.928294,4.001516897,-437,2.67E-04,310,0.333333333,0.02076354,3.140019861,56838
DHCR24,742.2743232,6.946403317,-553,2.59E-04,172,0.333333333,0.011805415,3.082423039,25646
RPP30,1385.940054,4.265145773,-414,2.69E-04,341,0.333333333,0.026047596,3.151439921,68688
UBXN2B,276.0935105,4.816987167,-596,2.56E-04,135,0.333333333,0.01003198,3.061072493,13198
POLR2B,6968.78825,4.267701666,-94,2.94E-04,730,0.333333333,0.04587957,3.310327706,314950
BID,957.6642034,4.887607923,-503,2.62E-04,253,0.333333333,0.01633316,3.107249255,39254
CDKN1A,3035.866404,4.394200155,-331,2.75E-04,464,0.333333333,0.02718371,3.19265144,123852
KMT2A,3012.847814,4.990972478,-340,2.74E-04,423,0.333333333,0.025403693,3.188182721,120150
RSBN1,2014.857637,4.55561152,-384,2.71E-04,364,0.333333333,0.022448445,3.16633565,90272
PTN,1432.022594,6.342933425,-477,2.64E-04,250,0.333333333,0.016206646,3.120158888,52514
KDM5A,492.5771827,4.56866795,-550,2.59E-04,185,0.333333333,0.012266409,3.083912612,22448
TBP,2786.349742,5.463204529,-396,2.70E-04,371,0.333333333,0.023213075,3.160377358,157496
IGF1R,3269.847576,4.819468876,-318,2.76E-04,455,0.333333333,0.027867793,3.199106256,136158
BRSK2,748.7055197,4.183185525,-494,2.63E-04,240,0.333333333,0.016952926,3.111717974,32950
C6orf62,340.8486993,4.404605297,-573,2.58E-04,162,0.333333333,0.011204874,3.072492552,17466
CDKN1B,1751.752328,4.075210481,-392,2.70E-04,384,0.333333333,0.024197149,3.162363456,85674
FAM208A,966.8292016,4.729693984,-486,2.64E-04,257,0.333333333,0.017926161,3.115690169,46308
BIK,814.6349149,6.079503887,-544,2.60E-04,195,0.333333333,0.012741427,3.086891758,32636
SP110,1217.620838,5.577728359,-485,2.64E-04,247,0.333333333,0.013904421,3.116186693,44404
HSP90AA1,4544.062951,4.403471766,-230,2.83E-04,576,0.333333333,0.035673443,3.242800397,197400
RB1,3391.565055,3.564920844,-281,2.79E-04,574,0.333333333,0.033110274,3.217477656,154418
TYR,1066.497246,5.733504798,-502,2.62E-04,232,0.333333333,0.015431547,3.10774578,42370
VAV1,2640.581655,5.019789418,-402,2.69E-04,383,0.333333333,0.018669568,3.157398213,89088
LRRC37A3,233.0728912,8.533863891,-660,2.52E-04,73,0.333333333,0.004022954,3.029294935,8820
CCNH,1519.302845,4.76660588,-450,2.66E-04,314,0.5,0.019295865,3.133565045,61768
ATRX,1417.319448,5.181295722,-453,2.66E-04,289,0.333333333,0.018776942,3.132075472,60262
CNTRL,1278.56992,5.177890867,-472,2.64E-04,276,0.333333333,0.018371327,3.122641509,53338
SMARCE1,1658.188571,4.100832976,-407,2.69E-04,371,0.333333333,0.024023379,3.154915591,79240
MAFK,621.4899016,6.471189801,-579,2.57E-04,154,0.333333333,0.008492042,3.068520357,18330
RHEB,493.3957506,5.490127535,-575,2.57E-04,158,0.333333333,0.009454269,3.071499503,18882
HDAC2,4631.599095,3.998562523,-198,2.85E-04,627,0.333333333,0.040731309,3.258689176,218244
GADD45G,673.0827163,5.685095056,-563,2.58E-04,179,0.333333333,0.010108616,3.076961271,22394
RRP7A,233.9524245,4.093021061,-598,2.56E-04,141,0.333333333,0.010987707,3.05958292,11922
CUL2,2367.937457,4.629688322,-373,2.72E-04,394,0.333333333,0.025329622,3.171797418,100882
FES,2058.772972,4.807006574,-408,2.69E-04,357,0.333333333,0.021307472,3.153922542,83312
TNF,1627.775241,5.157774665,-469,2.65E-04,296,0.333333333,0.014937277,3.123634558,55022
KIT,2817.806598,5.309950477,-381,2.71E-04,391,0.333333333,0.022251474,3.167825223,101274
EGFR,5521.474858,4.130074863,-209,2.84E-04,641,0.333333333,0.035379043,3.253227408,220032
KARS,1961.418464,4.986343035,-405,2.69E-04,345,0.333333333,0.022363453,3.15590864,81484
ASF1A,1302.260999,4.590773106,-450,2.66E-04,298,0.333333333,0.021156248,3.133565045,58744
CBFB,3479.187582,3.796902439,-226,2.83E-04,580,0.333333333,0.040587266,3.244786495,184110
PIK3R2,2139.296115,5.457925078,-455,2.66E-04,313,0.333333333,0.014661136,3.131082423,64306
CDC25B,2527.102631,5.965566447,-387,2.71E-04,363,0.333333333,0.02474896,3.164846077,91828
DDX3X,946.9747133,4.932056854,-492,2.63E-04,251,0.333333333,0.016828741,3.112711023,43210
TMPRSS2,1092.756179,5.450523791,-514,2.62E-04,229,0.333333333,0.013667251,3.101787488,37872
ASH2L,2510.276529,5.971792315,-388,2.70E-04,349,0.333333333,0.024339944,3.164349553,101138
NR5A2,1126.687979,5.0169328,-473,2.64E-04,262,0.333333333,0.017054934,3.122144985,49088
RPL5,421.9371172,4.237605189,-560,2.58E-04,180,0.333333333,0.012069653,3.078947368,20146
MRC1,620.6893109,8.019857903,-601,2.56E-04,128,0.333333333,0.00713912,3.058589871,25246
MAP3K7,7768.586308,4.017452643,-75,2.96E-04,794,0.333333333,0.046498862,3.319761668,337134
IRS4,512.6556947,6.613684619,-588,2.57E-04,141,0.333333333,0.008330765,3.065044687,21352
RBBP6,2290.02,5.436357449,-382,2.71E-04,358,0.5,0.023174648,3.167328699,95210
ERCC5,3845.750343,5.732964192,-312,2.76E-04,444,0.333333333,0.026666427,3.202085402,143782
TYK2,3187.355233,5.054327807,-354,2.73E-04,418,0.333333333,0.02263207,3.18123138,110544
TP53BP2,3156.575884,5.331237624,-324,2.75E-04,423,0.333333333,0.026999109,3.19612711,128114
RCOR1,2036.19404,4.856916226,-378,2.71E-04,371,0.333333333,0.025976254,3.169314796,94198
RNF139,2193.965692,5.416013969,-406,2.69E-04,338,0.333333333,0.021070696,3.155412115,86262
SRR,366.7249086,5.542585979,-587,2.57E-04,141,0.333333333,0.009777845,3.065541212,15774
AKT3,2429.667587,5.417139846,-388,2.70E-04,364,0.333333333,0.022370536,3.164349553,99060
DUSP5,1394.815375,6.489678258,-495,2.63E-04,235,0.333333333,0.013370815,3.11122145,47788
RNASEH2B,3311.782353,4.947715127,-297,2.77E-04,472,0.333333333,0.032195857,3.209533267,144462
EGR1,2495.370213,5.6815802,-419,2.68E-04,346,0.333333333,0.019078354,3.148957299,84086
MBNL2,736.9371729,5.919978991,-539,2.60E-04,187,0.333333333,0.011339582,3.088877855,28344
GAB1,1604.274299,4.727118832,-466,2.65E-04,311,0.333333333,0.015958761,3.125620655,66392
APOBEC3G,656.1818726,6.373907615,-562,2.58E-04,168,0.333333333,0.009439764,3.077457795,21944
MGEA5,1014.905925,5.575031692,-497,2.63E-04,233,0.333333333,0.015186757,3.110228401,42702
SMARCD1,1623.204541,5.047072927,-433,2.67E-04,321,0.5,0.02116563,3.142005958,67578
ZNF217,4852.892088,4.843312163,-212,2.84E-04,558,0.333333333,0.035498172,3.251737835,210912
CD27,2018.351395,4.338620091,-424,2.68E-04,357,0.333333333,0.017404314,3.146474677,73130
ELF1,2861.81979,5.464852447,-346,2.74E-04,397,0.333333333,0.024714128,3.185203575,121102
PARP1,4883.039065,4.416582987,-188,2.86E-04,616,0.333333333,0.041276959,3.263654419,226374
TFAP2A,622.3441096,5.895543107,-564,2.58E-04,171,0.333333333,0.010800075,3.076464747,22828
ITGB3BP,3015.973295,3.118464799,-243,2.82E-04,589,0.5,0.039629266,3.236345581,162952
AFP,549.5610903,6.462506888,-572,2.58E-04,155,0.333333333,0.009894654,3.072989076,20794
SMCHD1,787.593115,4.747275287,-498,2.63E-04,230,0.333333333,0.016999653,3.109731877,41432
RECQL5,506.9236644,6.123276822,-574,2.58E-04,156,0.333333333,0.009746128,3.071996028,18288
SUZ12,2601.528713,3.900871123,-288,2.78E-04,486,0.333333333,0.035362607,3.214001986,137038
NPC1,279.7903015,6.184214434,-621,2.54E-04,111,0.333333333,0.006697851,3.048659384,9576
AKAP8L,1173.213293,6.463090479,-512,2.62E-04,219,0.333333333,0.012953841,3.102780536,39604
KIN,1036.370714,4.750019323,-466,2.65E-04,265,0.333333333,0.018898935,3.125620655,49974
SMC1A,1573.284167,4.243744412,-401,2.70E-04,358,0.333333333,0.027504784,3.157894737,84146
UPF1,1182.433435,5.484931431,-484,2.64E-04,254,0.333333333,0.016027314,3.116683217,46224
MS4A1,1759.538569,4.029725088,-426,2.68E-04,358,0.333333333,0.018357723,3.145481629,69908
MED13,1118.287376,4.308900014,-460,2.65E-04,285,0.333333333,0.018201901,3.128599801,52434
KLKB1,397.4228685,7.964493728,-627,2.54E-04,103,0.333333333,0.005105105,3.045183714,10418
AATF,3208.273881,4.934844336,-300,2.77E-04,457,0.333333333,0.031208938,3.208043694,143092
CUL5,2117.632683,4.397603421,-372,2.72E-04,390,0.333333333,0.024816082,3.172293942,97454
DNAJC9,1948.644606,3.935933123,-309,2.76E-04,432,0.5,0.036072223,3.203574975,114870
SCAMP1,603.5590631,4.960156002,-539,2.60E-04,194,0.333333333,0.014087575,3.089374379,27946
E2F3,2103.99,3.962651522,-346,2.74E-04,440,0.5,0.031315134,3.185203575,103932
ACAP2,3160.438303,5.520432758,-326,2.75E-04,413,0.333333333,0.026570161,3.195134062,129318
BCL3,1105.678684,5.633424716,-509,2.62E-04,232,0.333333333,0.012479785,3.104270109,39002
HMGA1,1703.176854,4.024134518,-401,2.70E-04,376,0.333333333,0.025022017,3.157894737,75972
DDX11,1079.986536,5.63407039,-482,2.64E-04,245,0.333333333,0.018604525,3.117676266,45324
SRSF10,1065.124876,3.118729798,-410,2.69E-04,359,0.333333333,0.02680038,3.153426018,65530
UBE4B,1438.708885,6.564288558,-479,2.64E-04,246,0.333333333,0.015813744,3.119165839,51004
UTP18,1255.494172,3.950623431,-420,2.68E-04,330,0.333333333,0.024979172,3.148460775,64282
H2AFZ,4888.160145,3.308995568,-154,2.89E-04,726,0.5,0.045955914,3.280536246,243098
MORC3,2378.630505,5.020218359,-355,2.73E-04,381,0.333333333,0.025443514,3.180734856,106086
NPEPPS,573.4681641,4.560553602,-533,2.60E-04,201,0.333333333,0.013592887,3.092353525,27986
CDKN2C,1343.668069,4.664404379,-433,2.67E-04,316,0.333333333,0.02412724,3.142005958,58642
ACTL6A,4591.305803,2.836441279,-146,2.89E-04,757,0.333333333,0.046864809,3.284508441,243484
IL5,881.7898187,6.683702043,-557,2.59E-04,178,0.333333333,0.010963309,3.080436941,31480
RASA2,2718.719016,5.462261517,-360,2.73E-04,385,0.333333333,0.023634961,3.178252234,109788
BHLHE40,3121.522789,5.433005144,-343,2.74E-04,408,0.333333333,0.024501019,3.186693148,121982
CBX1,1978.486387,4.590476549,-369,2.72E-04,381,0.333333333,0.02852894,3.173783515,95002
KRAS,1703.386777,4.870450684,-414,2.69E-04,338,0.333333333,0.022020625,3.151439921,76804
GAB2,3794.232473,4.76997808,-320,2.76E-04,477,0.333333333,0.024996042,3.198113208,136724
OXSR1,2841.563163,4.84928456,-318,2.76E-04,436,0.333333333,0.029329252,3.199106256,128368
ACACB,712.3737988,5.954289471,-540,2.60E-04,184,0.333333333,0.011770899,3.088877855,27512
TRIM33,2471.639229,5.189989999,-365,2.72E-04,382,0.333333333,0.024810391,3.175769613,104386
MAP2K2,1512.87,4.340732092,-438,2.67E-04,326,0.333333333,0.019527828,3.139523337,59758
ZNF136,1670.871146,5.50654441,-454,2.66E-04,285,0.333333333,0.017127008,3.131578947,66274
ASXL1,1660.127163,6.018671982,-451,2.66E-04,283,0.333333333,0.018180304,3.13306852,67504
P2RX4,1074.44,6.02519968,-507,2.62E-04,222,0.333333333,0.01391769,3.105263158,39630
EGF,1201.715741,6.176672652,-517,2.61E-04,222,0.333333333,0.011925084,3.100297915,36380
MSX1,1647.850146,5.700162594,-435,2.67E-04,297,0.333333333,0.020715676,3.14101291,68688
BLMH,3243.268171,4.589237409,-288,2.78E-04,488,0.333333333,0.034081829,3.214001986,145214
NFYB,1026.714067,4.367078254,-446,2.66E-04,289,0.333333333,0.022965537,3.135551142,56294
ORC1,2196.31947,3.77420858,-352,2.73E-04,455,0.333333333,0.03081637,3.182224429,98182
NR0B2,693.1650081,6.150568492,-576,2.57E-04,164,0.333333333,0.008676204,3.071002979,19322
GAPVD1,1923.41063,5.280575864,-400,2.70E-04,336,0.333333333,0.023203193,3.158391261,83382
TCF4,5872.588254,5.208604328,-194,2.85E-04,582,0.333333333,0.035413559,3.260675273,236264
DDIT4,787.237505,6.252908697,-543,2.60E-04,185,0.333333333,0.01083813,3.086891758,28710
IL7,2237.134588,4.950486976,-403,2.69E-04,361,0.333333333,0.020399869,3.156901688,85980
KMT2D,261.7910754,6.053988521,-629,2.54E-04,104,0.333333333,0.005606836,3.043694141,7732
HAUS5,412.7364722,6.141153803,-583,2.57E-04,144,0.333333333,0.011518316,3.067527309,15792
KMT2B,668.6780715,6.319770511,-576,2.57E-04,153,0.333333333,0.007878082,3.071002979,20820
RRAS2,2469.072426,4.98577596,-358,2.73E-04,395,0.333333333,0.025463553,3.179245283,107542
TMEM97,453.4352713,4.071965845,-527,2.61E-04,198,0.333333333,0.017306574,3.095332671,24456
ADNP,4123.161455,4.84761838,-254,2.81E-04,509,0.333333333,0.032847999,3.230883813,174640
MED13L,2127.550923,5.10678016,-392,2.70E-04,355,0.333333333,0.02253549,3.162363456,90164
PVRL3,1636.784632,6.098850102,-467,2.65E-04,266,0.333333333,0.016032888,3.125124131,59744
IQGAP1,2730.924488,5.226167632,-362,2.72E-04,394,0.333333333,0.023997799,3.177259186,107966
HIRIP3,673.5493602,5.170474666,-517,2.61E-04,208,0.333333333,0.017528387,3.100297915,30904
ADD3,3047.77144,5.449691073,-341,2.74E-04,406,0.333333333,0.025160214,3.187686197,120460
ACACA,1662.022391,5.540523564,-435,2.67E-04,305,0.333333333,0.020720957,3.14101291,68904
PAPD7,3389.25583,6.291175208,-346,2.74E-04,394,0.333333333,0.02600291,3.185203575,140602
WBP4,1041.428719,5.122820043,-493,2.63E-04,245,0.333333333,0.016095239,3.112214499,43262
POLD1,2960.346158,4.867553317,-339,2.74E-04,430,0.333333333,0.028988507,3.188679245,116286
SLK,1210.418515,5.111578958,-463,2.65E-04,272,0.333333333,0.018373275,3.127110228,52772
AIM2,1097.219295,5.420816035,-528,2.61E-04,227,0.333333333,0.011327502,3.094836147,37672
ERCC3,2098.087184,4.573589567,-374,2.72E-04,385,0.333333333,0.025728225,3.171300894,96138
NFATC3,1289.395787,5.767673247,-480,2.64E-04,255,0.333333333,0.015797299,3.118669315,48830
TMPO,4211.861159,4.107640736,-187,2.86E-04,608,0.333333333,0.043278904,3.264150943,216368
ACTR2,2011.966401,4.441998639,-381,2.71E-04,384,0.333333333,0.024409733,3.167825223,92030
KIAA0922,2068.784899,5.080603693,-388,2.70E-04,361,0.333333333,0.023559878,3.164349553,90938
KDM6A,565.0616325,5.60722156,-562,2.58E-04,169,0.333333333,0.011062067,3.07795432,24574
PRPF4B,1615.011979,3.727476619,-366,2.72E-04,395,0.333333333,0.027910115,3.175273088,89302
SUGP2,1083.161787,6.886549987,-536,2.60E-04,196,0.333333333,0.011074807,3.090863952,31634
INPP5E,930.439045,7.061668013,-547,2.59E-04,178,0.333333333,0.009762228,3.085402185,27418
ELK1,634.1566428,5.183932264,-545,2.59E-04,195,0.333333333,0.012335912,3.086395233,25220
SETDB1,2569.879061,5.238569171,-380,2.71E-04,380,0.333333333,0.02343821,3.168321748,99444
SOS1,4144.5,4.762797107,-274,2.79E-04,513,0.333333333,0.029353052,3.220953327,165802
IRF2,5384.757922,4.965456252,-205,2.85E-04,581,0.5,0.033947511,3.255213505,222428
ATN1,242.0378472,6.6694648,-628,2.54E-04,98,0.333333333,0.006049698,3.045183714,8614
TNFRSF10D,450.8035929,6.843253435,-603,2.56E-04,128,0.333333333,0.007248942,3.057596822,13272
BAX,1843.031412,5.344608997,-430,2.67E-04,318,0.333333333,0.01969852,3.143495531,74280
PLCE1,226.2080082,6.676822783,-654,2.52E-04,82,0.333333333,0.003942795,3.030784508,5298
RAD17,799.0179419,4.058133515,-503,2.62E-04,253,0.333333333,0.016619678,3.107249255,36852
FLT1,2444.26,5.030505529,-383,2.71E-04,375,0.333333333,0.022699986,3.166832175,101796
TRIO,3057.538973,5.523409488,-350,2.73E-04,401,0.333333333,0.024410552,3.183217478,117418
TRDMT1,409.3688653,4.5891864,-555,2.59E-04,178,0.333333333,0.013589221,3.08142999,21594
EFCAB14,1388.038235,6.006296693,-484,2.64E-04,251,0.333333333,0.015609235,3.116683217,50120
PDPK1,2695.68,4.38746787,-349,2.73E-04,437,0.333333333,0.025747641,3.183714002,109372
CSK,3147.7431,4.74579583,-344,2.74E-04,445,0.333333333,0.024445831,3.186196624,118782
CHD3,1829.575333,5.715708644,-441,2.67E-04,308,0.333333333,0.018747612,3.138033764,68040
IRS1,2014.432859,4.499371258,-407,2.69E-04,371,0.333333333,0.020632172,3.154915591,81612
TRAF6,1825.960357,4.604216064,-428,2.68E-04,343,0.333333333,0.018663526,3.14448858,71252
PIGR,1178.304811,8.340425646,-551,2.59E-04,174,0.333333333,0.009355908,3.083416087,37552
POU2AF1,2129.256108,4.861937111,-391,2.70E-04,367,0.333333333,0.021816283,3.16285998,88688
TNFRSF1A,2966.082512,4.821704873,-385,2.71E-04,409,0.333333333,0.019932179,3.165839126,104062
CEP135,557.4557322,4.470076157,-533,2.60E-04,207,0.333333333,0.015297987,3.091857001,26356
VIM,3196.835299,5.60126675,-362,2.72E-04,398,0.5,0.023140175,3.177259186,117902
DENND4A,714.8559552,4.923139792,-514,2.62E-04,211,0.333333333,0.014009311,3.101787488,33692
GABPA,2341.578919,5.042292699,-367,2.72E-04,372,0.333333333,0.024814335,3.174776564,100942
NR5A1,446.8521141,6.319271025,-602,2.56E-04,132,0.333333333,0.006780726,3.058093347,12882
NELFB,1632.151521,6.21006772,-471,2.65E-04,259,0.333333333,0.015446099,3.123138034,54462
NFATC2IP,1309.378128,5.78132855,-471,2.65E-04,260,0.333333333,0.017781633,3.123138034,51448
CDC34,290.1161076,6.564194368,-627,2.54E-04,105,0.333333333,0.005851439,3.045183714,8742
SRF,654.020922,5.480273411,-564,2.58E-04,174,0.333333333,0.009781762,3.076961271,21236
ZC3H13,1089.189544,5.283891721,-487,2.63E-04,248,0.333333333,0.016269979,3.115193644,44940
MTAP,997.519424,5.339619381,-483,2.64E-04,247,0.333333333,0.018109377,3.117179742,45932
SEPT11,2731.331719,4.998130044,-335,2.74E-04,417,0.333333333,0.028256131,3.190665343,122340
GADD45B,546.0866456,5.277411013,-576,2.57E-04,171,0.333333333,0.00924592,3.071002979,18906
MAP4K2,1413.180667,5.639020092,-477,2.64E-04,266,0.333333333,0.016319688,3.120158888,56936
TP53TG5,26.25297355,10.55358489,-857,2.36E-04,21,0.333333333,9.26E-04,2.896226415,506
ADSS,1848.09,4.999227972,-396,2.70E-04,349,0.333333333,0.025394597,3.160377358,83322
